Name,Set,Imagefile,Number,Rarity,Type,Attack,Attack Type,Cost,Damage,Link,Text
Baraka's Chop Chop Blades,MK Round 1,89_mk,89,Rare,Attack,High Attack,Weapon,2,10,,This attack copies the text of the previous attack in this combo if the attack increases its own damage.
Baraka's Head Kabob,MK Round 1,90_mk,90,Rare,Attack,High Attack,Weapon,4,20,,"If you have 3 or more attacks in your energy pile that modify their own damage, this attack gains their texts."
Blazing Fury,MK Round 1,91_mk,91,Rare,Attack,High Attack,Kick,0,2,Punch,"HIT - If this attack was linked from a punch that hit, draw a card."
Bo' Rai Cho's Breath of Fire,MK Round 1,92_mk,92,Rare,Attack,High Attack,Projectile,4,20,,"If your rival hit with 4 or more attacks this step, this attack does +15 damage."
Dark Alliance,MK Round 1,93_mk,93,Rare,Attack,High Attack,Projectile,1,3,Kick,HIT - Your rival's attacks cost +X energy this turn. X = the number of weapons and kicks in your energy pile.
Darrius' Arm Rip,MK Round 1,94_mk,94,Rare,Attack,High Attack,Throw,4,20,,"If you have 3 or more attacks in your energy pile that are either Darrius' Chest Crunchers and/or attacks without text, this attack does +15 damage."
Darrius' Chest Cruncher,MK Round 1,95_mk,95,Rare,Attack,High Attack,Punch,2,10,,"If this attack is blocked, it is discarded instead of put into the energy pile. (*) While this card is in your energy pile, your attacks without text do +2 damage."
Hotaru's Super Slam,MK Round 1,96_mk,96,Rare,Attack,High Attack,Throw,4,20,,"If you have blocked 4 or more attacks this step, this attack does +15 damage."
Ice Maker,MK Round 1,97_mk,97,Rare,Attack,High Attack,Weapon,1,4,Throw,Choose a rival's face-down card. He reveals it. (*) HIT - Discard the revealed face-down card.
Jade's Blazing Nitro Kick,MK Round 1,98_mk,98,Rare,Attack,High Attack,Kick,2,10,,Damage from this attack is removed instead of discarded. (*) HIT - You may shuffle this attack into your deck after it finishes.
Jade's Spear Kabob,MK Round 1,99_mk,99,Rare,Attack,High Attack,Weapon,4,20,,"If this is the 4th or higher attack in this combo, this attack does +15 damage."
Kabal's Spinner,MK Round 1,100_mk,100,Rare,Attack,High Attack,Weapon,4,20,,"Guess all the titles of the cards in your rival's hand. Your rival reveals his hand. If no cards were guessed incorrectedly, this attack does +15 damage."
Noob Smoke's Dark Shadows,MK Round 1,101_mk,101,Rare,Attack,High Attack,Punch,4,20,,"If your hand has 2 or more times the cards in your rival's hand, this attack does +15 damage."
Noob Smoke's Ninja Stars,MK Round 1,102_mk,102,Rare,Attack,High Attack,Projectile,2,10,,Draw a card. (*) HIT - Draw a card.
Sub-Zero's Freeze and Throw,MK Round 1,103_mk,103,Rare,Attack,High Attack,Projectile,4,20,,"If 3 or more previous attacks in this combo created an effect that discarded cards from your rival's deck, this attack does +15 damage."
Ashrah's Voodoo,MK Round 1,104_mk,104,Rare,Attack,Low Attack,Special,4,20,,"If cards have been switched from your hand 3 or more times this turn, this attack does +15 damage."
Bo' Rai Cho's Puke,MK Round 1,105_mk,105,Rare,Attack,Low Attack,Projectile,2,10,,"HIT - Attach this card to your rival's character instead of putting this into your energy pile. While attached, your rival's attacks do -1 damage."
Hotaru's Lava Burst,MK Round 1,106_mk,106,Rare,Attack,Low Attack,Projectile,2,10,,Block all your rival's low attacks this step. Remove this card.
Kabal's Plasma Blast,MK Round 1,107_mk,107,Rare,Attack,Low Attack,Projectile,2,10,,HIT - Your rival reveals all but 1 random card in his hand. (*) Look at your rival's deck without changing its order.
Power Hook,MK Round 1,108_mk,108,Rare,Attack,Low Attack,Weapon,1,3,Projectile,"HIT - If linked from a projectile, your rival's attacks cost +1 energy this step."
Sindel's Banshee Scream,MK Round 1,109_mk,109,Rare,Attack,Low Attack,Projectile,2,0,,HIT - Your rival draws 10 cards and then discards 10 random cards from his hand.
Sindel's Super Scream,MK Round 1,110_mk,110,Rare,Attack,Low Attack,Special,4,20,,"If your rival has passed in his previous 2 actions this step, this attack does +15 damage."
Sub-Zero's Ice Blast,MK Round 1,111_mk,111,Rare,Attack,Low Attack,Projectile,2,10,,HIT - Your next attack this step is unblockable. Your rival must pass for his next action.
Bite Me,MK Round 1,112_mk,112,Rare,Block,High Block,,1,,,MORTAL KOMBAT ONLY. (*) Block all of your rival's high attacks this step. Remove this card. (*) Limit 1 per deck.
Bo Knows Defense,MK Round 1,113_mk,113,Rare,Block,Low Block,,0,,,Your rival's low attacks do -1 damage this step.
Drunken Master,MK Round 1,114_mk,114,Ultra Rare,Event,,,0,,,Flip before you play an attack. The attack costs -2 energy. (*) Limit 1 per deck.
Searching the Realms,MK Round 1,115_mk,115,Ultra Rare,Event,,,1,,,MORTAL KOMBAT ONLY. (*) Flip at the start of the Draw. Search your deck for a card and put it in your hand. (*) Limit 1 per deck.
Hooked on Fatalities,MK Round 1,116_mk,116,Ultra Rare,Attack,High Attack,Weapon,1,4,,"While in your energy pile with one or more projectiles, your rival's attacks cost +1 energy unless they are 0 cost attacks. Only 1 Hooked on Fatalities can modify your rival's costs."
Twin Fangs,MK Round 1,117_mk,117,Ultra Rare,Attack,High Attack,Weapon,1,4,Projectile,"While in your energy pile, discard the top X cards of your rival's deck at the start of the Draw. X = the number of projectiles in your energy pile."
