Name,Set,Imagefile,Number,Rarity,Type,Attack,Attack Type,Cost,Damage,Link,Text
Captain Commando,Marvel Vs Capcom,MVC1_01,1,Character,Character,--,--,--,--,--,When you draw your first Event you may set it and draw another card. ♦ Your attacks deal +1 damage for each event you have used this turn.
Chun-li,Marvel Vs Capcom,MVC1_02,2,Character,Character,--,--,--,--,--,Kicks you perform can link into kicks.   (*)The 3rd kick you play in each combo gains Launcher. (*) Attacks you perform while your opponent is launched deal +1 damage.
Jin Saotome,Marvel Vs Capcom,MVC1_03,3,Character,Character,--,--,--,--,--,
Mega Man,Marvel Vs Capcom,MVC1_04,4,Character,Character,--,--,--,--,--,"Mega Man Only (*) HIT – You may return this card to your hand instead of placing it into your energy pile. BLOCKED – If this card was played from your discard pile, remove it from the game."
Morrigan,Marvel Vs Capcom,MVC1_05,5,Character,Character,--,--,--,--,--,When you finish a combo that hit Heal X. X = the number of hits in that combo. ♦ Your rival discards the top card of their deck when they play a block.
Ryu,Marvel Vs Capcom,MVC1_06,6,Character,Character,--,--,--,--,--,Your rival discards +1 card from his deck when your other effects discard cards from his deck. (*) Your first projectile each turn costs -1 energy for each punch in your energy pile.
Strider,Marvel Vs Capcom,MVC1_07,7,Character,Character,--,--,--,--,--,"Attacks you play gain: “BLOCKED – Remove this card
from the game.” (*) When entering Combat, you may take a 
0-cost attack from your discard pile and put it into your 
hand."
Zangief,Marvel Vs Capcom,MVC1_08,8,Common,Character,--,--,--,--,--,You may discard a card from your hand to block a throw.  (*) Throws you perform that end a combo of 4 or more attacks are unblockable.
Captain America,Marvel Vs Capcom,MVC1_09,9,Character,,,,,,,During the first draw step of the game you may search your Side Deck for a copy of “The Shield” and draw it. () Once per step you may swap a card from your hand with a copy of “The Shield” in your energy pile.
Gambit,Marvel Vs Capcom,MVC1_10,10,Character,,,,,,,Twice per turn when you perform a projectile you may remove a card from your side deck to have it deal +5 damage.
Hulk,Marvel Vs Capcom,MVC1_11,11,Character,,,,,,,You take zero chipping damage. () After you take damage your next attack does +X damage. X = the amount of damage you took to a maximum of 4.
Spider-Man,Marvel Vs Capcom,MVC1_12,12,Character,,,,,,,"During your draw step, look at the top 5 cards of your deck. Choose 3 to draw and put the rest back in any order. t Blocks you play cost 1 less energy."
Venom,Marvel Vs Capcom,MVC1_13,13,Character,,,,,,,Each attack you play counts as 2 attacks for card effects.  tThe first attack and first block you play each battle stays in the arena to be used a second time this battle.
War Machine,Marvel Vs Capcom,MVC1_14,14,Character,,,,,,,"When you play the first projectile of your turn, you may reveal the top card of your deck. You may place it on the top or bottom of your deck. tOnce per turn, you may look at the top card of your deck. If it is a projectile, you may reveal it and place it into your hand."
Wolverine,Marvel Vs Capcom,MVC1_15,15,Character,,,,,,,Your punches count as weapons. ♦ Your rival skips their next action after you play 2 or more weapons in a combo. ♦ At the end of the Battle step Heal 2.
Mack the Knife's Spinning Attack ,Marvel Vs Capcom,MVC1_16,16,Common,Event,,,2,,,Captain Commando Only ♦Draw a card for each Captain Commando Only card you have activated this turn.
Chun Li's Hyakuretsukyaku,Marvel Vs Capcom,MVC1_17,17,Common,Attack,High Attack,Kick,1,4,Kick,"If your rival is launched when you play this attack, this attack stays in the arena to be used a 2nd time this step.  If it's in the arena when Battle ends, discard it."
Jin Saotome,Marvel Vs Capcom,MVC1_18,18,Common,,,,,,,
Mega Man's Leaf Shield,Marvel Vs Capcom,MVC1_19,19,Common,Attack,High Attack,Prorjectile,1,4,Projectile,"When your rival plays an attack, you may play this card from your hand as if it were a block. If you do, it blocks any attack.  (*) HIT – You may discard 1 card. If you do, this attack gains +2 damage."
Morrigan,Marvel Vs Capcom,MVC1_20,20,Common,,,,,,,
