Name,Set,Imagefile,Number,Rarity,Type,Attack,Attack Type,Cost,Damage,Link,Text
Ken,Street Fighter 2,25_SF2,004,Common,Character,,,,,,"You can play low kicks and low projectiles as high kicks and high projectiles and vice versa. (*) When you play a kick or projectile, you may switch a card in your hand with the top card of your deck."
Ryu,Street Fighter 2,26_SF2,005,Common,Character,,,,,,Your rival discards +1 card from his deck when your other effects discard cards from his deck. (*) Your first projectile each turn costs -1 energy for each punch in your energy pile.
Blanka,Street Fighter 2,SFr2-01,C1,Common,Character,,,,,,Your electrics deal +2 damage.  (*) Twice per step you may pay +1 energy to change a punch into an electric.
Chun Li,Street Fighter 2,SFr2-02,C2,Common,Character,,,,,,Kicks you perform can link into kicks.  (*) The 3rd kick you play in each combo gains Launcher.
Dhalsim,Street Fighter 2,SFr2-03,C3,Common,Character,,,,,,"When your last attack in a combo of 3 or more attacks hits, search your discard pile for a card and place it into your energy pile."
E. Honda,Street Fighter 2,SFr2-04,C4,Common,Character,,,,,,Your punches and slams deal +2 chipping.  (*) Twice per step when you perform a slam you may draw a block from your discard pile.
Guile,Street Fighter 2,SFr2-05,C5,Common,Character,,,,,,The first time you end a combo with a projectile each step you may draw a card.  (*) Your projectiles deal +1 damage.
Zangief,Street Fighter 2,SFr2-06,C6,Common,Character,,,,,,You may discard a card from your hand to block a throw.  (*) Throws you perform that end a combo of 4 or more attacks are unblockable.
Footsies,Street Fighter 2,SFr2-07,C7,Common,Event,,,2,,,Flip when you attack.  Your 0 and 1 cost attacks are unblockable this action.
Good Read,Street Fighter 2,SFr2-08,C8,Common,Event,,,2,,,Flip when your rival attacks before you play a block.  Look at the top 3 cards of your deck.  Put 1 of those cards in your hand and the other 2 on the bottom of your deck.  (*) Limit 1 per deck.
Psycho Power,Street Fighter 2,SFr2-09,C9,Common,Event,,,,,,"STREET FIGHTER ONLY - Flip at the start of Battle.  Draw 3 cards, then place 2 cards from your hand on top of your deck.  (*) Remove this card.  (*) Limit 1 per deck."
Blanka's Rolling Attack,Street Fighter 2,SFr2-10,C10,Common,Attack,High Attack,Slam,2,10,,Counts as a punch.
Chun Li's Hyakuretsukyaku,Street Fighter 2,SFr2-11,C11,Common,Attack,High Attack,Kick,1,7,Kick,"If your rival is launched when you play this attack, this attack stays in the arena to be used a 2nd time this step.  If it's in the arena when Battle ends, discard it."
Chun Li's Senretsukyaku,Street Fighter 2,SFr2-12,C12,Common,Attack,High Attack,Kick,4,18,,This attack does +1 damage for each kick you’ve played this step.
Chun Li's Spinning Bird Kick,Street Fighter 2,SFr2-13,C13,Common,Attack,High Attack,Kick,2,12,,"If your rival is launched when you play this attack, take 1 card from their energy pile and place it in their discard pile."
Dhalsim's Yoga Fire,Street Fighter 2,SFr2-14,C14,Common,Attack,High Attack,Projectile,2,8,,HIT - Search your discard pile for a card and place it into your energy pile.
Dhalsim's Yoga Inferno ,Street Fighter 2,SFr2-15,C15,Common,Attack,High Attack,Projectile,4,18,,HIT - Prevent 4 damage from each of your rival’s attacks this step.
E. Honda's Hundred Hand Slap,Street Fighter 2,SFr2-16,C16,Common,Attack,High Attack,Punch,1,4,Punch,"This attack stays in the arena to be used a second and third time this step. If it's in the arena when Battle ends, discard it."
E. Honda's Sumo Headbutt,Street Fighter 2,SFr2-17,C17,Common,Attack,High Attack,Slam,1,8,,You may discard a block from your hand when you perform this attack to have it deal +4 damage.
E. Honda's Super Killer Head Ram,Street Fighter 2,SFr2-18,C18,Common,Attack,High Attack,Slam,4,18,,You may discard a block from your hand when you perform this attack to have it deal +8 damage.
